Team,GW,Captain,Formation,Transfers,Transfer_Cost,GW_Score,Cumulative_Score
1,40,Mohamed Salah,5-5-1,1,0,69.71215410062423,69.71215410062423
1,41,Mohamed Salah,4-5-2,1,0,71.7859068160501,141.49806091667432
1,42,Mohamed Salah,4-5-2,2,4,75.51942096504575,217.01748188172007
1,43,Mohamed Salah,4-5-2,1,0,80.12039405946406,297.1378759411841
2,40,Mohamed Salah,5-5-1,1,0,67.68679792722745,67.68679792722745
2,41,Mohamed Salah,3-5-3,1,0,71.86645482206808,139.55325274929552
2,42,Mohamed Salah,4-5-2,1,0,78.15136768562436,217.7046204349199
2,43,Mohamed Salah,4-5-2,1,0,76.16373606062042,293.8683564955403
3,40,Mohamed Salah,5-5-1,1,0,68.39473488153479,68.39473488153479
3,41,Mohamed Salah,3-5-3,1,0,71.2348095333952,139.62954441492997
3,42,Mohamed Salah,3-5-3,1,0,75.1751416995046,214.80468611443456
3,43,Mohamed Salah,3-5-2,1,0,73.91864805172992,288.7233341661645
